clients,dataset,exact_shapley_fully_covered,feasible,game_id,grand_worth,interaction_surplus,max_player_width,mean_player_width,nonempty_coordinate_intervals,nonnegative_pair_mass,nonnegative_singletons,nonnegative_triple_mass,normalized_sum_width,pair_mass,phase,slice_lower_bound,slice_upper_bound,source,sum_player_width,tolerance,triple_mass
8,fashion_mnist,,False,84,0.028373939841681458,-0.00040938937802481937,,,False,False,True,False,,-0.00037390168453900127,development,False,False,confirmatory-20260903,,1e-09,-3.5487693485818095e-05
8,fashion_mnist,,False,87,0.10443845354521354,-0.0033908794597664466,,,False,False,True,False,,-0.0023587276871264856,development,False,False,confirmatory-20260903,,1e-09,-0.001032151772639961
8,fashion_mnist,,False,90,0.005838068406410544,0.0003069736264096328,,,False,True,True,True,,0.00030540581354498476,development,True,True,confirmatory-20260903,,1e-09,1.5678128646480494e-06
8,fashion_mnist,False,True,93,0.02422284456019163,0.003291815953936454,1.9705945258299655e-05,1.692453578461439e-05,True,True,True,True,0.005589611324750803,0.003173580282386658,development,True,True,confirmatory-20260903,0.00013539628627691513,1e-09,0.0001182356715497962
8,fashion_mnist,,False,96,0.028373939841681472,-0.0005378728424558672,,,False,False,True,False,,-0.0005124846024041306,development,False,False,confirmatory-20260903,,1e-09,-2.538824005173662e-05
8,fashion_mnist,,False,99,0.10106002624351407,-0.004954197158876572,,,False,False,True,False,,-0.004523056768827249,development,False,False,confirmatory-20260903,,1e-09,-0.0004311403900493227
8,fashion_mnist,,False,102,0.005838068406410547,0.0004359183741837755,,,False,True,True,False,,0.0004383236347976797,development,False,False,confirmatory-20260903,,1e-09,-2.4052606139041838e-06
8,fashion_mnist,,False,105,0.023672428577521054,0.00408542877439011,,,False,True,True,False,,0.004119040043925493,development,False,False,confirmatory-20260903,,1e-09,-3.361126953538296e-05
8,fashion_mnist,,False,108,0.028373939841681454,-0.0004514628142347002,,,False,False,True,False,,-0.00041104068303179225,development,False,False,confirmatory-20260903,,1e-09,-4.042213120290794e-05
8,fashion_mnist,,False,111,0.1040182495313261,-0.0036558347677408953,,,False,False,True,False,,-0.002529018319238463,development,False,False,confirmatory-20260903,,1e-09,-0.0011268164485024323
