game_id,utility,alpha,partition_seed,checkpoint_epoch,local_epochs,update_scale,base_weighted_update_norm_sum,base_max_weighted_update_norm,base_weighted_aggregate_norm,scaled_weighted_update_norm_sum,high_order_mass,relative_midpoint_gap,absolute_midpoint_gap,kendall_tau,sign_agreement,efficiency_defect,identity_residual
35,accuracy,0.1,3253,0,20,0.125,1.6475904532978376,0.3475425130634359,0.850623848942954,0.2059488066622297,0.8693181818169474,0.6402502606181159,0.005847619047619044,0.8864052604279183,0.875,0.0040000000000000105,5.204170427930421e-18
36,negative_brier,0.1,3253,0,20,0.25,1.6475904532978376,0.3475425130634359,0.850623848942954,0.4118976133244594,0.0022019444371406743,0.0004018159993500289,1.4781460264621507e-05,0.9999999999999998,1.0,-1.1962544412158493e-05,2.5262757651859508e-18
37,negative_cross_entropy,0.1,3253,0,20,0.25,1.6475904532978376,0.3475425130634359,0.850623848942954,0.4118976133244594,0.0011640724211724291,0.00039195596813404633,7.925821996087202e-05,0.9999999999999998,1.0,-7.925821996090932e-05,1.559218249305716e-17
38,accuracy,0.1,3253,0,20,0.25,1.6475904532978376,0.3475425130634359,0.850623848942954,0.4118976133244594,0.8904382470110654,0.31296296295426956,0.011266666666666668,0.7142857142857142,1.0,0.009000000000000001,6.5052130349130266e-18
39,negative_brier,0.1,3253,0,20,0.5,1.6475904532978376,0.3475425130634359,0.850623848942954,0.8237952266489188,0.008884037864069777,0.001847940668202683,0.00014309562112390533,0.9999999999999998,1.0,-0.00013637639376956612,4.594306705907325e-18
40,negative_cross_entropy,0.1,3253,0,20,0.5,1.6475904532978376,0.3475425130634359,0.850623848942954,0.8237952266489188,0.004892370949068667,0.0014574678246922364,0.0005740957317084249,0.9999999999999998,1.0,-0.0005740957317084128,3.7161029461940664e-17
41,accuracy,0.1,3253,0,20,0.5,1.6475904532978376,0.3475425130634359,0.850623848942954,0.8237952266489188,0.8827225130885441,0.09092477570672573,0.012547619047619078,0.9999999999999998,1.0,0.009000000000000036,1.3010426069826053e-17
42,negative_brier,0.1,3253,0,20,1.0,1.6475904532978376,0.3475425130634359,0.850623848942954,1.6475904532978376,0.03785494845307454,0.011315148253136903,0.0018599555203538541,0.9999999999999998,1.0,-0.0018204606826407455,1.054386612742153e-17
43,negative_cross_entropy,0.1,3253,0,20,1.0,1.6475904532978376,0.3475425130634359,0.850623848942954,1.6475904532978376,0.01981703342811177,0.004819114326872853,0.0034812532555734653,0.9999999999999998,1.0,-0.0030683894680217927,7.277029456451145e-17
44,accuracy,0.1,3253,0,20,1.0,1.6475904532978376,0.3475425130634359,0.850623848942954,1.6475904532978376,0.8300613496929973,0.1758130081295452,0.05766666666666663,0.9999999999999998,1.0,-0.05100000000000027,3.469446951953614e-17
