game_id,utility,alpha,partition_seed,checkpoint_epoch,local_epochs,update_scale,base_weighted_update_norm_sum,base_max_weighted_update_norm,base_weighted_aggregate_norm,scaled_weighted_update_norm_sum,client,shapley,midpoint,observed_error,predicted_error
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,0,0.001099523400553134,0.0010994553027137144,-6.809783941971216e-08,-6.809783942005705e-08
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,1,0.0011349828002211663,0.0011349350193953778,-4.778082578855633e-08,-4.778082578852744e-08
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,2,0.0009679238351254529,0.0009678912181733668,-3.261695208616865e-08,-3.261695208631841e-08
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,3,0.003897575677237379,0.0038974431059480286,-1.3257128935037152e-07,-1.32571289349467e-07
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,4,0.0014520114515635047,0.0014518908286923482,-1.2062287115650015e-07,-1.2062287115678311e-07
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,5,0.0002904388286852599,0.0002904432716088201,4.442923560196536e-09,4.442923560271915e-09
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,6,0.00017941824163134827,0.0001794066307707065,-1.1610860641757086e-08,-1.161086064172507e-08
0,negative_brier,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,7,0.0028703847458653982,0.0028702414629597217,-1.4328290567650753e-07,-1.4328290567514452e-07
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,0,0.005349262642286142,0.005348537023224242,-7.25619061899864e-07,-7.256190619031605e-07
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,1,0.006491633357838195,0.0064907757747647565,-8.57583073438431e-07,-8.575830734383485e-07
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,2,0.004982439443172655,0.004981727509843603,-7.119333290516588e-07,-7.11933329053526e-07
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,3,0.023066600364697373,0.0230654430374424,-1.1573272549712799e-06,-1.1573272549847945e-06
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,4,0.007038828389468933,0.007038422983997039,-4.054054718941047e-07,-4.0540547189641757e-07
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,5,0.001989975392112922,0.001989887097054721,-8.82950582010468e-08,-8.829505819924185e-08
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,6,0.001048632904182989,0.0010485162740019316,-1.1663018105738561e-07,-1.1663018105681358e-07
1,negative_cross_entropy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,7,0.016988351056144404,0.016987270720303815,-1.0803358405885033e-06,-1.0803358406022818e-06
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,0,0.0009523809523809537,0.0020000000000000018,0.001047619047619048,0.0010476190476190485
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,1,0.0017380952380952382,0.0030000000000000027,0.0012619047619047644,0.0012619047619047618
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,2,0.0013380952380952396,0.0020000000000000018,0.0006619047619047622,0.0006619047619047611
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,3,0.002404761904761907,0.0040000000000000036,0.0015952380952380966,0.001595238095238094
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,4,0.0003047619047619052,0.0020000000000000018,0.0016952380952380964,0.0016952380952380951
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,5,0.00028571428571428574,0.0010000000000000009,0.0007142857142857152,0.0007142857142857142
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,6,-6.19047619047622e-05,0.0,6.19047619047622e-05,6.190476190475998e-05
2,accuracy,0.1,3109,0,20,0.0625,1.623127863764565,0.5438424982146491,1.067864723005738,0.10144549148528531,7,0.001038095238095239,0.0020000000000000018,0.0009619047619047628,0.000961904761904761
3,negative_brier,0.1,3109,0,20,0.125,1.623127863764565,0.5438424982146491,1.067864723005738,0.20289098297057062,0,0.002262096458051511,0.002261306034934518,-7.904231169929103e-07,-7.904231169936743e-07
3,negative_brier,0.1,3109,0,20,0.125,1.623127863764565,0.5438424982146491,1.067864723005738,0.20289098297057062,1,0.002326001959332311,0.0023253965451392467,-6.054141930642715e-07,-6.054141930649819e-07
3,negative_brier,0.1,3109,0,20,0.125,1.623127863764565,0.5438424982146491,1.067864723005738,0.20289098297057062,2,0.0019957305140215803,0.0019952370120253082,-4.935019962720895e-07,-4.935019962730767e-07
3,negative_brier,0.1,3109,0,20,0.125,1.623127863764565,0.5438424982146491,1.067864723005738,0.20289098297057062,3,0.007977428406255795,0.007976082904194048,-1.3455020617461622e-06,-1.345502061742792e-06
3,negative_brier,0.1,3109,0,20,0.125,1.623127863764565,0.5438424982146491,1.067864723005738,0.20289098297057062,4,0.002913534548805723,0.0029125149644894655,-1.0195843162573784e-06,-1.019584316258725e-06
