profile,method,player,subject,exact_shapley,midpoint,radius,efficient_lower,efficient_upper,oracle_bernstein_radius,radius_to_oracle_ratio
0,authorized_public_clip,0,1,0.00029553387026651717,0.00029553415790628534,4.917743466146422e-06,0.00029061641444013894,0.00030045190137243175,2.893045810913603e-10,16998.498425413574
0,authorized_public_clip,1,2,0.0005873540843789167,0.0005873544587988722,4.953222360649639e-06,0.0005824012364382225,0.0005923076811595218,3.755297192319657e-10,13189.961025667906
0,authorized_public_clip,2,3,0.0003600251167630209,0.0003600252480630006,4.937484648980409e-06,0.00035508776341402023,0.000364962732711981,1.3242451659670252e-10,37285.27598871641
0,authorized_public_clip,3,4,0.0005545459655716176,0.0005545460262079693,4.9325565542391205e-06,0.0005496134696537302,0.0005594785827622085,6.182617460947187e-11,79781.04072257197
0,authorized_public_clip,4,5,0.0005169977299611208,0.0005169980082145864,4.7946326088580955e-06,0.0005122033756057283,0.0005217926408234445,2.7960707903073276e-10,17147.75114234893
0,authorized_public_clip,5,6,0.0001232572300042871,0.0001232574734710834,4.615380232448185e-06,0.00011864209323863522,0.0001278728537035316,2.4495339170363454e-10,18841.871101879922
0,authorized_public_clip,6,8,0.0006273500683856402,0.0006273500203834992,4.732478139170613e-06,0.0006226175422443285,0.0006320824985226698,4.880222232246247e-11,96972.59497529827
0,authorized_public_clip,7,10,0.0008233654534435404,0.0008233657292157082,4.7682304540416716e-06,0.0008185974987616665,0.0008281339596697498,2.768634588848449e-10,17222.317720248193
0,oracle_bernstein,0,1,0.00029553387026651717,0.00029553415790628534,2.893045810913603e-10,0.00029553386860170424,0.00029553397442650406,2.893045810913603e-10,1.0
0,oracle_bernstein,1,2,0.0005873540843789167,0.0005873544587988722,3.755297192319657e-10,0.000587354083269153,0.0005873541890939527,3.755297192319657e-10,1.0
0,oracle_bernstein,2,3,0.0003600251167630209,0.0003600252480630006,1.3242451659670252e-10,0.000360025115638484,0.00036002522146328384,1.3242451659670252e-10,1.0
0,oracle_bernstein,3,4,0.0005545459655716176,0.0005545460262079693,6.182617460947187e-11,0.0005545459643817947,0.0005545460702065944,6.182617460947187e-11,1.0
0,oracle_bernstein,4,5,0.0005169977299611208,0.0005169980082145864,2.7960707903073276e-10,0.0005169977286075074,0.000516997834432307,2.7960707903073276e-10,1.0
0,oracle_bernstein,5,6,0.0001232572300042871,0.0001232574734710834,2.4495339170363454e-10,0.0001232572285176917,0.0001232573343424915,2.4495339170363454e-10,1.0
0,oracle_bernstein,6,8,0.0006273500683856402,0.0006273500203834992,4.880222232246247e-11,0.0006273499715812768,0.0006273500691857215,4.880222232246247e-11,1.0
0,oracle_bernstein,7,10,0.0008233654534435404,0.0008233657292157082,2.768634588848449e-10,0.0008233654523522492,0.0008233655581770492,2.768634588848449e-10,1.0
1,authorized_public_clip,0,2,0.0007011306894621462,0.0007011297137333727,4.956514857095978e-06,0.0006961731988762768,0.0007060862285904687,9.819578121590313e-10,5047.584321568852
1,authorized_public_clip,1,3,0.001568051943157437,0.0015680499993819819,4.940772200283896e-06,0.001563109227181698,0.0015729907715822658,1.9476129976028866e-09,2536.834682436899
1,authorized_public_clip,2,4,0.0016831790127744587,0.0016831777898091982,4.935842547639445e-06,0.0016782419472615587,0.0016881136323568377,1.2304493358131316e-09,4011.414695410955
1,authorized_public_clip,3,5,0.00023438926368133007,0.00023438863260505371,4.797873197344976e-06,0.00022959075940770873,0.0002391865058023987,6.335547279985224e-10,7572.941981669128
1,authorized_public_clip,4,6,0.0007262269004204997,0.0007262258764033636,4.6185566822919955e-06,0.0007216073197210715,0.0007308444330856556,1.0320903029103219e-09,4474.954051276753
1,authorized_public_clip,5,7,0.0012475259617247504,0.0012475250920205294,4.829189632954293e-06,0.001242695902387575,0.0012523542816534837,8.763415556777572e-10,5510.62494031728
1,authorized_public_clip,6,8,0.0008831702930087807,0.0008831690749091514,4.73569713832623e-06,0.0008784333777708252,0.0008879047720474776,1.2243682742329182e-09,3867.8698541851736
1,authorized_public_clip,7,9,0.001733518246206429,0.0017335163370515438,4.839251517764241e-06,0.0017286770855337796,0.0017383555885693081,1.914955861348406e-09,2527.0825377440856
1,oracle_bernstein,0,2,0.0007011306894621462,0.0007011297137333727,9.819578121590313e-10,0.0007011306488819546,0.0007011306956911849,9.819578121590313e-10,1.0
1,oracle_bernstein,1,3,0.001568051943157437,0.0015680499993819819,1.9476129976028866e-09,0.0015680519001857497,0.0015680519469949794,1.9476129976028866e-09,1.0
1,oracle_bernstein,2,4,0.0016831790127744587,0.0016831777898091982,1.2304493358131316e-09,0.0016831789734493043,0.001683179020258534,1.2304493358131316e-09,1.0
1,oracle_bernstein,3,5,0.00023438926368133007,0.00023438863260505371,6.335547279985224e-10,0.0002343892193505514,0.0002343892661597817,6.335547279985224e-10,1.0
1,oracle_bernstein,4,6,0.0007262269004204997,0.0007262258764033636,1.0320903029103219e-09,0.0007262268616844356,0.0007262269084936664,1.0320903029103219e-09,1.0
1,oracle_bernstein,5,7,0.0012475259617247504,0.0012475250920205294,8.763415556777572e-10,0.001247525921552855,0.0012475259683620852,8.763415556777572e-10,1.0
1,oracle_bernstein,6,8,0.0008831702930087807,0.0008831690749091514,1.2243682742329182e-09,0.0008831702524681947,0.0008831702992774256,1.2243682742329182e-09,1.0
1,oracle_bernstein,7,9,0.001733518246206429,0.0017335163370515438,1.914955861348406e-09,0.0017335182051981752,0.0017335182520074053,1.914955861348406e-09,1.0
2,authorized_public_clip,0,1,0.00017194318381169335,0.00017194341892323717,4.946704701360954e-06,0.0001669967142218762,0.00017689012362459813,2.3578124717825963e-10,20980.059952015847
2,authorized_public_clip,1,3,-8.622704088988179e-05,-8.622663817048348e-05,4.966498079676176e-06,-9.119313625015967e-05,-8.12601400908073e-05,4.0396212381084026e-10,12294.464720662261
2,authorized_public_clip,2,5,0.0009591308693027307,0.0009591310723846558,4.823253380472219e-06,0.0009543078190041835,0.000963954325765128,2.0385345343608938e-10,23660.3957361182
2,authorized_public_clip,3,6,0.0006171981521569914,0.0006171982192852976,4.643459864060374e-06,0.0006125547594212372,0.000621841679149358,6.855175766291444e-11,67736.55442787314
2,authorized_public_clip,4,7,0.0006458304817418128,0.0006458307347408931,4.854648215017108e-06,0.000640976086525876,0.0006506853829559103,2.5385601108606457e-10,19123.629155944
2,authorized_public_clip,5,8,0.00017277137454942522,0.00017277140642257827,4.760917318593028e-06,0.00016801048910398524,0.0001775323237411713,3.323430499682698e-11,143253.10305263108
2,authorized_public_clip,6,9,0.0005172599671744306,0.0005172600015408424,4.864734976189396e-06,0.000512395266564653,0.0005221247365170318,3.572323998086581e-11,136178.43674860007
2,authorized_public_clip,7,10,0.00034424612894777426,0.00034424621160522584,4.796774878252101e-06,0.0003394494367269737,0.00034904298648347795,8.346490245606018e-11,57470.56232141824
2,oracle_bernstein,0,1,0.00017194318381169335,0.00017194341892323717,2.3578124717825963e-10,0.00017194318314199,0.00017194319163176073,2.3578124717825963e-10,1.0
2,oracle_bernstein,1,3,-8.622704088988179e-05,-8.622663817048348e-05,4.0396212381084026e-10,-8.62270421326073e-05,-8.62270336428367e-05,4.0396212381084026e-10,1.0
2,oracle_bernstein,2,5,0.0009591308693027307,0.0009591310723846558,2.0385345343608938e-10,0.0009591308685312023,0.0009591308770209731,2.0385345343608938e-10,1.0
2,oracle_bernstein,3,6,0.0006171981521569914,0.0006171982192852976,6.855175766291444e-11,0.0006171981507335399,0.0006171981592233105,6.855175766291444e-11,1.0
2,oracle_bernstein,4,7,0.0006458304817418128,0.0006458307347408931,2.5385601108606457e-10,0.0006458304808848821,0.0006458304893746528,2.5385601108606457e-10,1.0
2,oracle_bernstein,5,8,0.00017277137454942522,0.00017277140642257827,3.323430499682698e-11,0.00017277137318827328,0.00017277138167804372,3.323430499682698e-11,1.0
2,oracle_bernstein,6,9,0.0005172599671744306,0.0005172600015408424,3.572323998086581e-11,0.0005172599658176024,0.000517259974307373,3.572323998086581e-11,1.0
2,oracle_bernstein,7,10,0.00034424612894777426,0.00034424621160522584,8.346490245606018e-11,0.00034424612814032337,0.00034424613663009383,8.346490245606018e-11,1.0
3,authorized_public_clip,0,1,0.0005940377584041036,0.0005940376873541098,4.925671623772349e-06,0.0005891120157303374,0.0005989633589778821,7.153607416054102e-11,68855.7721621426
3,authorized_public_clip,1,3,0.0003750307140838429,0.00037503088463120005,4.945427608088105e-06,0.00037008545702311193,0.00037997631223928816,1.7067517849384967e-10,28975.669758952765
3,authorized_public_clip,2,4,0.0009176535286674469,0.0009176532971588713,4.9404958349683114e-06,0.000912712801323903,0.0009225937929938396,2.3195649185099182e-10,21299.235022669993
3,authorized_public_clip,3,5,0.0012703038753233426,0.0012703037620762636,4.802464487371688e-06,0.001265501297588892,0.0012751062265636353,1.1474221652810255e-10,41854.38134878171
3,authorized_public_clip,4,6,0.0006409283347219585,0.0006409285177835233,4.623059862335226e-06,0.0006363054579211882,0.0006455515776458585,1.8475454579550188e-10,25022.712390808094
3,authorized_public_clip,5,7,0.0004299839900186304,0.0004299838973452763,4.833795441900855e-06,0.00042515010190337545,0.0004348176927871772,9.317102724884561e-11,51880.88598605363
3,authorized_public_clip,6,8,6.21073280813252e-05,6.210730341138504e-05,4.740258832134863e-06,5.736704457925018e-05,6.684756224351991e-05,2.634588923310604e-11,179924.04014886278
3,authorized_public_clip,7,9,0.0004962975571467805,0.0004962982688994089,4.843861936164475e-06,0.0004914544069632444,0.0005011421308355734,7.133463457560299e-10,6790.336790792384
3,oracle_bernstein,0,1,0.0005940377584041036,0.0005940376873541098,7.153607416054102e-11,0.0005940376158180356,0.0005940377588901839,7.153607416054102e-11,1.0
3,oracle_bernstein,1,3,0.0003750307140838429,0.00037503088463120005,1.7067517849384967e-10,0.0003750307139560216,0.0003750310553063785,1.7067517849384967e-10,1.0
3,oracle_bernstein,2,4,0.0009176535286674469,0.0009176532971588713,2.3195649185099182e-10,0.0009176530652023795,0.0009176535291153632,2.3195649185099182e-10,1.0
3,oracle_bernstein,3,5,0.0012703038753233426,0.0012703037620762636,1.1474221652810255e-10,0.001270303647334047,0.0012703038768184802,1.1474221652810255e-10,1.0
3,oracle_bernstein,4,6,0.0006409283347219585,0.0006409285177835233,1.8475454579550188e-10,0.0006409283330289776,0.0006409287025380691,1.8475454579550188e-10,1.0
3,oracle_bernstein,5,7,0.0004299839900186304,0.0004299838973452763,9.317102724884561e-11,0.00042998380417424905,0.0004299839905163036,9.317102724884561e-11,1.0
3,oracle_bernstein,6,8,6.21073280813252e-05,6.210730341138504e-05,2.634588923310604e-11,6.210727706549581e-05,6.210732975727427e-05,2.634588923310604e-11,1.0
3,oracle_bernstein,7,9,0.0004962975571467805,0.0004962982688994089,7.133463457560299e-10,0.0004962975555530631,0.0004962986298682245,7.133463457560299e-10,1.0
