seed,epsilon,method,clients,checkpoint_subject,test_subject,grand_worth,shapley_l1,midpoint_l1_error,midpoint_relative_l1_error,median_radius_to_oracle_ratio,coordinate_coverage_count,joint_coverage,signs_certified,strict_pairs,pairs_certified,top_client_certified,efficient_l1_width,efficient_relative_l1_width
5,0.5,oracle_bernstein,8,7,4,0.011405549565579376,0.011405549565579378,1.6122780115319923e-08,1.413590815699316e-06,1.0,8,True,8,28,28,True,3.6184838249982317e-08,3.172564201203543e-06
6,0.5,authorized_public_clip,8,3,7,0.005715973828796406,0.006067158468656188,2.027773364477424e-09,3.342212626584539e-07,22504.493144748732,8,True,8,28,28,True,7.73075928224678e-05,0.012741976859366365
6,0.5,oracle_bernstein,8,3,7,0.005715973828796406,0.006067158468656188,2.027773364477424e-09,3.342212626584539e-07,1.0,8,True,8,28,28,True,3.5200077880162377e-09,5.801740313230533e-07
7,0.5,authorized_public_clip,8,1,3,0.003952091038851968,0.004063701619493917,4.530597258060919e-09,1.1148941731381973e-06,9229.808536594841,8,True,8,28,28,True,7.73111857876179e-05,0.019024818504814633
7,0.5,oracle_bernstein,8,1,3,0.003952091038851968,0.004063701619493917,4.530597258060919e-09,1.1148941731381973e-06,1.0,8,True,8,28,28,True,9.19668979278219e-09,2.2631311675054505e-06
8,0.5,authorized_public_clip,8,1,5,0.004103955236790302,0.004237469697567747,1.7468209805477112e-09,4.122320877334253e-07,32438.965923190415,8,True,8,28,28,True,7.730649825079622e-05,0.018243551871751577
8,0.5,oracle_bernstein,8,1,5,0.004103955236790302,0.004237469697567747,1.7468209805477112e-09,4.122320877334253e-07,1.0,8,True,8,28,28,True,3.547081752261873e-09,8.370754258044078e-07
9,0.5,authorized_public_clip,8,7,6,0.013076943257481322,0.013076943257481322,1.200146557524609e-08,9.177577158532282e-07,3155.16737515446,8,True,8,28,28,True,7.732159438493709e-05,0.00591281868067972
9,0.5,oracle_bernstein,8,7,6,0.013076943257481322,0.013076943257481322,1.200146557524609e-08,9.177577158532282e-07,1.0,8,True,8,28,28,True,2.7114638102929828e-08,2.073469125542322e-06
10,0.5,authorized_public_clip,8,6,4,0.012016726528174093,0.012016726528174093,2.804538721916383e-09,2.333862483353974e-07,14687.037721469176,8,True,8,28,28,True,7.732345223404277e-05,0.006434651903437898
10,0.5,oracle_bernstein,8,6,4,0.012016726528174093,0.012016726528174093,2.804538721916383e-09,2.333862483353974e-07,1.0,8,True,8,28,28,True,5.817789669720214e-09,4.841409726347554e-07
11,0.5,authorized_public_clip,8,5,8,0.008588467933011046,0.008588467933011046,4.616041771369171e-09,5.374697567524543e-07,7833.143743369858,8,True,8,28,28,True,7.73084098723959e-05,0.009001420330889073
11,0.5,oracle_bernstein,8,5,8,0.008588467933011046,0.008588467933011046,4.616041771369171e-09,5.374697567524543e-07,1.0,8,True,8,28,28,True,3.7951159006848964e-10,4.4188508705445846e-08
12,0.5,authorized_public_clip,8,9,10,0.0026779862023440515,0.0029382983473948197,1.135292612537372e-09,3.863775825070921e-07,38523.07456223047,8,True,8,28,28,True,7.7305135782361e-05,0.026309491622793335
12,0.5,oracle_bernstein,8,9,10,0.0026779862023440515,0.0029382983473948197,1.135292612537372e-09,3.863775825070921e-07,1.0,8,True,8,28,28,True,2.175469821768931e-09,7.403842509585118e-07
13,0.5,authorized_public_clip,8,8,3,0.007176069603007651,0.007176069603007653,8.427605947738254e-09,1.174404153358776e-06,3976.157336777866,8,True,8,28,28,True,7.731074518180074e-05,0.010773410717563922
13,0.5,oracle_bernstein,8,8,3,0.007176069603007651,0.007176069603007653,8.427605947738254e-09,1.174404153358776e-06,1.0,8,True,8,28,28,True,2.872120867416887e-10,4.0023592661543866e-08
14,0.5,authorized_public_clip,8,2,6,0.0028906775277035557,0.0033221409565242417,1.0111421477975553e-08,3.043646132797112e-06,3905.7373812751116,8,True,8,28,27,True,7.732487067576062e-05,0.023275614028546644
14,0.5,oracle_bernstein,8,2,6,0.0028906775277035557,0.0033221409565242417,1.0111421477975553e-08,3.043646132797112e-06,1.0,8,True,8,28,28,True,5.681553493530633e-10,1.7102084367198842e-07
15,0.5,authorized_public_clip,8,9,6,0.0020709604518769353,0.002809639383901829,2.8142999867718775e-09,1.0016587900550843e-06,12499.62907480711,8,True,8,28,28,True,7.732138916546496e-05,0.027520040322956477
15,0.5,oracle_bernstein,8,9,6,0.0020709604518769353,0.002809639383901829,2.8142999867718775e-09,1.0016587900550843e-06,1.0,8,True,8,28,28,True,4.952877173577388e-09,1.7628159685519379e-06
16,0.5,authorized_public_clip,8,3,8,0.00485551038374421,0.0049844227488344515,3.297287362913849e-09,6.615184001042772e-07,11878.746128651868,8,True,7,28,28,True,7.731074518180112e-05,0.015510471134168714
16,0.5,oracle_bernstein,8,3,8,0.00485551038374421,0.0049844227488344515,3.297287362913849e-09,6.615184001042772e-07,1.0,8,True,8,28,28,True,6.414656010012212e-09,1.2869406011408767e-06
17,0.5,authorized_public_clip,8,6,1,0.008153747285859048,0.008153747285859048,7.639790355028209e-09,9.369667818060592e-07,5805.340668311708,8,True,8,28,27,True,7.73226513871737e-05,0.009483081663787939
17,0.5,oracle_bernstein,8,6,1,0.008153747285859048,0.008153747285859048,7.639790355028209e-09,9.369667818060592e-07,1.0,8,True,8,28,28,True,5.156657881732682e-10,6.324279745637183e-08
18,0.5,authorized_public_clip,8,1,7,0.007883720889035661,0.007883720889035661,7.026520253551431e-09,8.912695352307997e-07,7081.368250749942,8,True,8,28,27,True,7.730612941664458e-05,0.009805792276887023
18,0.5,oracle_bernstein,8,1,7,0.007883720889035661,0.007883720889035661,7.026520253551431e-09,8.912695352307997e-07,1.0,8,True,8,28,28,True,2.031513285502204e-10,2.5768457735101457e-08
19,0.5,authorized_public_clip,8,7,9,0.007866424666190142,0.007866424666190142,1.3557284587713617e-08,1.7234366515018352e-06,2743.9501679372647,8,True,8,28,27,True,7.730345692906829e-05,0.009827012931489854
19,0.5,oracle_bernstein,8,7,9,0.007866424666190142,0.007866424666190142,1.3557284587713617e-08,1.7234366515018352e-06,1.0,8,True,8,28,28,True,1.7963028948304004e-08,2.2835061299481474e-06
