epsilon,mid_abs_lo,mid_abs_med,mid_abs_hi,mid_rel_lo,mid_rel_med,mid_rel_hi,mid_abs_ref,mid_rel_ref
0.0625,2.444446060187084e-07,3.1355804949770685e-07,4.7525537134681544e-07,2.30826891762175e-05,3.549740214087025e-05,5.5015106953081246e-05,3.1355804949770685e-07,3.549740214087025e-05
0.125,2.500078705179235e-06,3.592098064018808e-06,6.676186867949718e-06,0.0001399277685071978,0.00022207640205962575,0.0002792642029371036,2.5084643959816548e-06,0.000141989608563481
0.25,2.091707004490853e-05,5.0090553892913336e-05,8.46281979354726e-05,0.0007199739106050888,0.0012996056388881292,0.0015407817759553273,2.0067715167853238e-05,0.000567958434253924
0.5,0.0001790893608106388,0.0004088361684388286,0.0016350342512342537,0.00337071838180836,0.005752354955473999,0.013504177139276465,0.0001605417213428259,0.002271833737015696
1.0,0.0015662318899355048,0.002917309733953318,0.019112515290634048,0.014661310850512269,0.0222067915466245,0.07711269644837432,0.0012843337707426072,0.009087334948062784
