subject,rank,efficient_lower,midpoint,exact_shapley,efficient_upper,error_minus,error_plus
1,1,0.290616414440,0.295534157906,0.295533870267,0.300451901372,0.004917743466,0.004917743466
2,2,0.582401236438,0.587354458799,0.587354084379,0.592307681160,0.004953222361,0.004953222361
3,3,0.355087763414,0.360025248063,0.360025116763,0.364962732712,0.004937484649,0.004937484649
4,4,0.549613469654,0.554546026208,0.554545965572,0.559478582762,0.004932556554,0.004932556554
5,5,0.512203375606,0.516998008215,0.516997729961,0.521792640823,0.004794632609,0.004794632609
6,6,0.118642093239,0.123257473471,0.123257230004,0.127872853704,0.004615380233,0.004615380233
8,7,0.622617542244,0.627350020383,0.627350068386,0.632082498523,0.004732478139,0.004732478139
10,8,0.818597498762,0.823365729216,0.823365453444,0.828133959670,0.004768230454,0.004768230454
