seed,epsilon,method,player,subject,exact_shapley,midpoint,radius,efficient_lower,efficient_upper,oracle_bernstein_radius,radius_to_oracle_ratio
8501,0.25,authorized_public_clip,0,25,7.397440182688347e-05,7.397423558774818e-05,6.602231847081897e-07,7.331401240303999e-05,7.463445877245638e-05,1.6637508117858857e-10,3968.281668331689
8501,0.25,authorized_public_clip,1,30,0.00017186660282017373,0.00017186663298535132,6.31126045825156e-07,0.00017123550693952616,0.00017249775903117648,3.0184910926240296e-11,20908.660203350362
8501,0.25,authorized_public_clip,2,22,0.00014134465566540056,0.00014134477645233456,5.557753758078643e-07,0.0001407890010765267,0.00014190055182814243,1.2110397949637548e-10,4589.241229884589
8501,0.25,authorized_public_clip,3,27,0.00023813628044272542,0.00023813627396174208,6.230475349507176e-07,0.00023751322642679137,0.0002387593214966928,6.584900091783335e-12,94617.6139753675
8501,0.25,authorized_public_clip,4,23,0.0002331587482847671,0.00023315886477376369,6.183836286884769e-07,0.00023254048114507522,0.00023377724840245215,1.1675747485868507e-10,5296.308689759901
8501,0.25,authorized_public_clip,5,5,0.0001627639837539446,0.00016276402663256695,5.308991170551774e-07,0.00016223312751551178,0.00016329492574962211,4.2929882670878474e-11,12366.656604335732
8501,0.25,authorized_public_clip,6,15,0.00018273058284123473,0.00018273065324553306,5.647230122764762e-07,0.00018216593023325658,0.00018329537625780954,7.05390383732764e-11,8005.822382892316
8501,0.25,authorized_public_clip,7,28,0.0002185288115087076,0.00021852894429486014,6.299784284343523e-07,0.0002178989658664258,0.00021915892272329448,1.3305155205729372e-10,4734.844642496733
8501,0.25,oracle_bernstein,0,25,7.397440182688347e-05,7.397423558774818e-05,1.6637508117858857e-10,7.3974069212667e-05,7.397440196282936e-05,1.6637508117858857e-10,1.0
8501,0.25,oracle_bernstein,1,30,0.00017186660282017373,0.00017186663298535132,3.0184910926240296e-11,0.0001718666028004404,0.00017186666317026223,3.0184910926240296e-11,1.0
8501,0.25,oracle_bernstein,2,22,0.00014134465566540056,0.00014134477645233456,1.2110397949637548e-10,0.00014134465534835507,0.00014134489755631406,1.2110397949637548e-10,1.0
8501,0.25,oracle_bernstein,3,27,0.00023813628044272542,0.00023813627396174208,6.584900091783335e-12,0.000238136267376842,0.00023813628054664216,6.584900091783335e-12,1.0
8501,0.25,oracle_bernstein,4,23,0.0002331587482847671,0.00023315886477376369,1.1675747485868507e-10,0.00023315874801628882,0.00023315898153123855,1.1675747485868507e-10,1.0
8501,0.25,oracle_bernstein,5,5,0.0001627639837539446,0.00016276402663256695,4.2929882670878474e-11,0.0001627639837026843,0.0001627640695624496,4.2929882670878474e-11,1.0
8501,0.25,oracle_bernstein,6,15,0.00018273058284123473,0.00018273065324553306,7.05390383732764e-11,0.0001827305827064947,0.00018273072378457143,7.05390383732764e-11,1.0
8501,0.25,oracle_bernstein,7,28,0.0002185288115087076,0.00021852894429486014,1.3305155205729372e-10,0.00021852881124330808,0.0002185290773464122,1.3305155205729372e-10,1.0
8501,0.5,authorized_public_clip,0,25,0.00014775763313386095,0.00014775630231700365,5.281785477665518e-06,0.00014247451683933814,0.00015303808779466917,1.3329874434474815e-09,3962.3670152550953
8501,0.5,authorized_public_clip,1,30,0.00034241235595213783,0.00034241259499601107,5.049008366601248e-06,0.0003373635866294098,0.00034746160336261234,2.393386422974806e-10,21095.667286044416
8501,0.5,authorized_public_clip,2,22,0.00028233615781315756,0.0002823371210124437,4.4462030064629145e-06,0.0002778909180059808,0.0002867833240189066,9.682629520982409e-10,4591.9375483983185
8501,0.5,authorized_public_clip,3,27,0.00047592196537537824,0.00047592191200507283,4.984380279605741e-06,0.0004709375317254671,0.0004809062922846786,5.502122911348567e-11,90590.12966295354
8501,0.5,authorized_public_clip,4,23,0.0004652639107332483,0.0004652648403118964,4.9470690295078155e-06,0.0004603177712823886,0.0004702119093414042,9.33862543650494e-10,5297.427403148207
8501,0.5,authorized_public_clip,5,5,0.0003255206745431363,0.00032552101604793604,4.247192936441419e-06,0.0003212738231114946,0.00032976820898437747,3.423150844856695e-10,12407.261990288427
8501,0.5,authorized_public_clip,6,15,0.0003643506324317819,0.00036435119361677426,4.51778409821181e-06,0.00035983340951856245,0.00036886897771498607,5.633178191169584e-10,8019.955955403229
8501,0.5,authorized_public_clip,7,28,0.000435020638723142,0.0004350216981212629,5.039827427474819e-06,0.0004299818706937881,0.0004400615255487377,1.0636317760473566e-09,4738.319727719782
8501,0.5,oracle_bernstein,0,25,0.00014775763313386095,0.00014775630231700365,1.3329874434474815e-09,0.00014775496932956022,0.00014775763530444709,1.3329874434474815e-09,1.0
8501,0.5,oracle_bernstein,1,30,0.00034241235595213783,0.00034241259499601107,2.393386422974806e-10,0.0003424123556573688,0.00034241283433465334,2.393386422974806e-10,1.0
8501,0.5,oracle_bernstein,2,22,0.00028233615781315756,0.0002823371210124437,9.682629520982409e-10,0.0002823361527494916,0.00028233808927539576,9.682629520982409e-10,1.0
