seed,epsilon,method,clients,grand_worth,shapley_l1,midpoint_l1_error,midpoint_relative_l1_error,median_radius_to_oracle_ratio,coordinate_coverage_count,joint_coverage,signs_certified,strict_pairs,pairs_certified,top_client_certified,efficient_l1_width,efficient_relative_l1_width
8504,1.0,oracle_bernstein,8,0.004937863243833385,0.004937863243833385,1.6130776986359092e-07,3.266752477043009e-05,1.0,8,True,8,28,28,True,5.4993721176563055e-09,1.1137149501680594e-06
8505,0.25,authorized_public_clip,8,0.0017310452021654932,0.001731045202165493,1.6771542183204643e-09,9.688679505616141e-07,2607.2717179831493,8,True,8,28,28,True,9.648311410611395e-06,0.005573691197068635
8505,0.25,oracle_bernstein,8,0.0017310452021654932,0.001731045202165493,1.6771542183204643e-09,9.688679505616141e-07,1.0,8,True,8,28,28,True,5.133068679038632e-10,2.9653001953108996e-07
8505,0.5,authorized_public_clip,8,0.0034479717789948072,0.0034479717789948072,1.3449738335373756e-08,3.900768101818401e-06,2596.0780704727326,8,True,8,28,27,True,7.718649128489181e-05,0.02238605656018683
8505,0.5,oracle_bernstein,8,0.0034479717789948072,0.0034479717789948072,1.3449738335373756e-08,3.900768101818401e-06,1.0,8,True,8,28,28,True,4.174269460687288e-09,1.2106449028691222e-06
8505,1.0,authorized_public_clip,8,0.006839625634411317,0.006839625634411317,1.0810854940933572e-07,1.5806208581010202e-05,2574.430755398471,8,True,8,28,22,False,0.0006174919302791353,0.09028153925298879
8505,1.0,oracle_bernstein,8,0.006839625634411317,0.006839625634411317,1.0810854940933572e-07,1.5806208581010202e-05,1.0,8,True,8,28,28,True,3.44240971365253e-08,5.033038205819158e-06
8506,0.25,authorized_public_clip,8,0.0016795690963749,0.0016795690963749,9.098172769914179e-10,5.416968426088729e-07,5129.929487017458,8,True,8,28,26,False,9.63123517489997e-06,0.005734348881479904
8506,0.25,oracle_bernstein,8,0.0016795690963749,0.0016795690963749,9.098172769914179e-10,5.416968426088729e-07,1.0,8,True,8,28,28,True,1.876725993577369e-11,1.1173854035005868e-08
8506,0.5,authorized_public_clip,8,0.003346478176987966,0.003346478176987966,7.324330142226016e-09,2.188668131889535e-06,5075.0389509289525,8,True,8,28,24,False,7.704988139919922e-05,0.023024169679637545
8506,0.5,oracle_bernstein,8,0.003346478176987966,0.003346478176987966,7.324330142226016e-09,2.188668131889535e-06,1.0,8,True,8,28,28,True,2.9670315575096307e-10,8.866131496167492e-08
8506,1.0,authorized_public_clip,8,0.0066424025820054355,0.0066424025820054355,5.9321356826627474e-08,8.930707840322862e-06,4969.567428132966,8,True,8,28,18,False,0.0006163990511935927,0.09279760500675577
8506,1.0,oracle_bernstein,8,0.0066424025820054355,0.0066424025820054355,5.9321356826627474e-08,8.930707840322862e-06,1.0,8,True,8,28,28,True,4.675945900877582e-09,7.039540049621463e-07
8507,0.25,authorized_public_clip,8,0.001718628918591758,0.001718628918591758,1.0658201543285294e-09,6.201572324185628e-07,5091.437897547086,8,True,8,28,27,True,9.623030413777832e-06,0.00559924850796976
8507,0.25,oracle_bernstein,8,0.001718628918591758,0.001718628918591758,1.0658201543285294e-09,6.201572324185628e-07,1.0,8,True,8,28,28,True,2.37509768254672e-11,1.3819723708075966e-08
8507,0.5,authorized_public_clip,8,0.003423495146830713,0.003423495146830713,8.576857446864535e-09,2.505292713003912e-06,5033.830899475045,8,True,8,28,27,True,7.698424331022233e-05,0.02248703152361795
8507,0.5,oracle_bernstein,8,0.003423495146830713,0.003423495146830713,8.576857446864535e-09,2.505292713003912e-06,1.0,8,True,8,28,28,True,3.776800135114021e-10,1.1032000841324922e-07
8507,1.0,authorized_public_clip,8,0.0067920231073334,0.006792023107333402,6.941427588150542e-08,1.0219970511634199e-05,4923.265760079812,8,True,8,28,23,False,0.0006158739464817775,0.09067606759555004
8507,1.0,oracle_bernstein,8,0.0067920231073334,0.006792023107333402,6.941427588150542e-08,1.0219970511634199e-05,1.0,8,True,8,28,28,True,6.002525490653339e-09,8.837610524747188e-07
8508,0.25,authorized_public_clip,8,0.0014818030963176243,0.0014818030963176243,7.403738090812871e-10,4.996438531013463e-07,6460.29161607097,8,True,8,28,28,True,9.622891004806107e-06,0.006494041632269204
8508,0.25,oracle_bernstein,8,0.0014818030963176243,0.0014818030963176243,7.403738090812871e-10,4.996438531013463e-07,1.0,8,True,8,28,28,True,1.3331233982396065e-09,8.996629853540195e-07
8508,0.5,authorized_public_clip,8,0.0029558200430548354,0.0029558200430548354,5.928761474002873e-09,2.0057924317576906e-06,6429.8861583697635,8,True,8,28,25,True,7.698312803844907e-05,0.026044592326683914
8508,0.5,oracle_bernstein,8,0.0029558200430548354,0.0029558200430548354,5.928761474002873e-09,2.0057924317576906e-06,1.0,8,True,8,28,28,True,1.0696241270903139e-08,3.618705168610294e-06
8508,1.0,authorized_public_clip,8,0.005880589471879527,0.005880589471879527,4.75184225818626e-08,8.080554305144245e-06,6371.505832666111,8,True,8,28,19,True,0.0006158650243075921,0.10472845063371235
8508,1.0,oracle_bernstein,8,0.005880589471879527,0.005880589471879527,4.75184225818626e-08,8.080554305144245e-06,1.0,8,True,8,28,28,True,8.605825832595088e-08,1.4634291123847323e-05
8509,0.25,authorized_public_clip,8,0.0015838797383680436,0.0015838797383680436,5.000187493328818e-10,3.156923703894247e-07,8917.284586545815,8,True,8,28,27,True,9.64841045855976e-06,0.006091630708281807
8509,0.25,oracle_bernstein,8,0.0015838797383680436,0.0015838797383680436,5.000187493328818e-10,3.156923703894247e-07,1.0,8,True,8,28,28,True,2.4664247418515126e-10,1.5572045531913917e-07
8509,0.5,authorized_public_clip,8,0.0031563663016533905,0.003156366301653391,4.016995705470247e-09,1.272664615033233e-06,8822.825715756033,8,True,8,28,27,True,7.71872836684777e-05,0.024454475896409873
8509,0.5,oracle_bernstein,8,0.0031563663016533905,0.003156366301653391,4.016995705470247e-09,1.272664615033233e-06,1.0,8,True,8,28,28,True,1.994406132051988e-09,6.318677684448081e-07
8509,1.0,authorized_public_clip,8,0.0062672477114807945,0.0062672477114807945,3.24023395219036e-08,5.170106721228931e-06,8642.127975735204,8,True,8,28,22,False,0.0006174982693478221,0.09852782236740325
8509,1.0,oracle_bernstein,8,0.0062672477114807945,0.0062672477114807945,3.24023395219036e-08,5.170106721228931e-06,1.0,8,True,8,28,28,True,1.628860580747335e-08,2.599004627667055e-06
8510,0.25,authorized_public_clip,8,0.001465037904645028,0.0014650379046450275,4.836283897771861e-10,3.301132263634189e-07,9584.240869393432,8,True,8,28,28,True,9.605335811456022e-06,0.0065563735753492195
8510,0.25,oracle_bernstein,8,0.001465037904645028,0.0014650379046450275,4.836283897771861e-10,3.301132263634189e-07,1.0,8,True,8,28,28,True,9.695228314838059e-10,6.617732058317931e-07
8510,0.5,authorized_public_clip,8,0.0029240862535151457,0.0029240862535151457,3.877160183537879e-09,1.3259390613225142e-06,9564.329517701528,8,True,8,28,28,True,7.684268649164763e-05,0.026279213334761638
8510,0.5,oracle_bernstein,8,0.0029240862535151457,0.0029240862535151457,3.877160183537879e-09,1.3259390613225142e-06,1.0,8,True,8,28,28,True,7.790291244312878e-09,2.66417970136268e-06
8510,1.0,authorized_public_clip,8,0.0058242808626152165,0.0058242808626152165,3.114501075020693e-08,5.347443140108934e-06,9524.700474736781,8,True,8,28,24,True,0.0006147414919331797,0.1055480507084613
8510,1.0,oracle_bernstein,8,0.0058242808626152165,0.0058242808626152165,3.114501075020693e-08,5.347443140108934e-06,1.0,8,True,8,28,28,True,6.286686985682195e-08,1.079392826839047e-05
8511,0.25,authorized_public_clip,8,0.0015136767164710685,0.0015136767164710685,3.6887257139040733e-09,2.4369309980977344e-06,1280.5352373311905,8,True,8,28,28,True,9.63964884347925e-06,0.006368366991588808
8511,0.25,oracle_bernstein,8,0.0015136767164710685,0.0015136767164710685,3.6887257139040733e-09,2.4369309980977344e-06,1.0,8,True,8,28,28,True,1.4332585303051398e-11,9.468722837328932e-09
8511,0.5,authorized_public_clip,8,0.0030125755058919568,0.0030125755058919568,2.950032235128023e-08,9.792392683201294e-06,1280.1292971167168,8,True,8,28,26,True,7.711719074783352e-05,0.02559842585568736
8511,0.5,oracle_bernstein,8,0.0030125755058919568,0.0030125755058919568,2.950032235128023e-08,9.792392683201294e-06,1.0,8,True,8,28,28,True,2.3618800955283424e-10,7.840069369630738e-08
8511,1.0,authorized_public_clip,8,0.005966347718225795,0.005966347718225796,2.358198898923746e-07,3.952499937817486e-05,1279.3506519857904,8,True,8,28,21,False,0.0006169375259826678,0.10340287811162349
8511,1.0,oracle_bernstein,8,0.005966347718225795,0.005966347718225796,2.358198898923746e-07,3.952499937817486e-05,1.0,8,True,8,28,28,True,4.032978887858526e-09,6.759543824210521e-07
8512,0.25,authorized_public_clip,8,0.0014254238693357513,0.0014254238693357513,1.6659753996939352e-09,1.1687578932584615e-06,2824.960505685939,8,True,8,28,28,True,9.625072170379133e-06,0.006752428081698952
8512,0.25,oracle_bernstein,8,0.0014254238693357513,0.0014254238693357513,1.6659753996939352e-09,1.1687578932584615e-06,1.0,8,True,8,28,28,True,3.230535985829187e-09,2.2663686592173113e-06
8512,0.5,authorized_public_clip,8,0.002835738470354787,0.002835738470354787,1.3332711604430126e-08,4.701671800524102e-06,2814.2695377070236,8,True,8,28,25,True,7.700057736303268e-05,0.02715362440537237
8512,0.5,oracle_bernstein,8,0.002835738470354787,0.002835738470354787,1.3332711604430126e-08,4.701671800524102e-06,1.0,8,True,8,28,28,True,2.5909404306214117e-08,9.136739712754886e-06
8512,1.0,authorized_public_clip,8,0.005611188035396619,0.005611188035396619,1.0673158497027241e-07,1.9021209818306687e-05,2793.528732968049,8,True,8,28,20,False,0.000616004618904261,0.10978149634419407
8512,1.0,oracle_bernstein,8,0.005611188035396619,0.005611188035396619,1.0673158497027241e-07,1.9021209818306687e-05,1.0,8,True,8,28,28,True,2.0829581374418212e-07,3.712151729599585e-05
8513,0.25,authorized_public_clip,8,0.0013895079370525032,0.0013895079370525032,5.241878115651386e-10,3.7724707949479304e-07,10476.446615445639,8,True,8,28,28,True,9.642719730385804e-06,0.006939665090291445
8513,0.25,oracle_bernstein,8,0.0013895079370525032,0.0013895079370525032,5.241878115651386e-10,3.7724707949479304e-07,1.0,8,True,8,28,28,True,1.049891334758751e-09,7.555849851640649e-07
8513,0.5,authorized_public_clip,8,0.002771131290155937,0.002771131290155937,4.189371456594362e-09,1.5117910399859932e-06,10423.972995830623,8,True,8,28,28,True,7.714175784308681e-05,0.027837640926391564
8513,0.5,oracle_bernstein,8,0.002771131290155937,0.002771131290155937,4.189371456594362e-09,1.5117910399859932e-06,1.0,8,True,8,28,28,True,8.402665058052702e-09,3.0322147077151483e-06
8513,1.0,authorized_public_clip,8,0.005510832260071097,0.005510832260071098,3.344715460249382e-08,6.069347245200483e-06,10323.506325680906,8,True,8,28,24,False,0.0006171340627446927,0.11198563728824965
8513,1.0,oracle_bernstein,8,0.005510832260071097,0.005510832260071098,3.344715460249382e-08,6.069347245200483e-06,1.0,8,True,8,28,28,True,6.727560387812317e-08,1.220788452469561e-05
8514,0.25,authorized_public_clip,8,0.0016417739945744358,0.0016417739945744356,1.3096966291429452e-09,7.977325945430748e-07,3229.993213765335,8,True,8,28,28,True,9.615868042870258e-06,0.00585699863001289
8514,0.25,oracle_bernstein,8,0.0016417739945744358,0.0016417739945744356,1.3096966291429452e-09,7.977325945430748e-07,1.0,8,True,8,28,28,True,1.5552500395388594e-11,9.472984976806734e-09
8514,0.5,authorized_public_clip,8,0.0032722542559512346,0.0032722542559512346,1.0515043280642962e-08,3.213394331539459e-06,3219.525635662131,8,True,8,28,28,True,7.692694434296196e-05,0.023508853011512294
8514,0.5,oracle_bernstein,8,0.0032722542559512346,0.0032722542559512346,1.0515043280642962e-08,3.213394331539459e-06,1.0,8,True,8,28,28,True,2.433960211655449e-10,7.438175705585832e-08
8514,1.0,authorized_public_clip,8,0.0064994625819444485,0.0064994625819444485,8.470712931161594e-08,1.3032943605814421e-05,3199.7966158208983,8,True,8,28,23,True,0.0006154155547436957,0.09468714480465464
8514,1.0,oracle_bernstein,8,0.0064994625819444485,0.0064994625819444485,8.470712931161594e-08,1.3032943605814421e-05,1.0,8,True,8,28,28,True,3.750766862354281e-09,5.77088769184832e-07
8515,0.25,authorized_public_clip,8,0.0013666660740869752,0.0013666660740869752,8.779217170270691e-10,6.423820222296787e-07,5015.158582221258,8,True,8,28,28,True,9.643309852020902e-06,0.007056083433846266
8515,0.25,oracle_bernstein,8,0.0013666660740869752,0.0013666660740869752,8.779217170270691e-10,6.423820222296787e-07,1.0,8,True,8,28,28,True,1.7584110590404631e-09,1.2866427952625934e-06
8515,0.5,authorized_public_clip,8,0.002724360236500467,0.0027243602365004662,7.027324160595446e-09,2.5794401429976985e-06,5002.129850013762,8,True,8,28,27,True,7.714647881616732e-05,0.028317282624469416
